T?nh Thành Ph?	Qu?n Huy?n	Ph??ng Xã			
T?nh S?n La	Huy?n Mai S?n	Xã Chi?ng L??ng	Xa Chieng Luong	Huyen Mai Son	Tinh Son La
T?nh S?n La	Huy?n Mai S?n	Xã Phiêng P?n	Xa Phieng Pan	Huyen Mai Son	Tinh Son La
T?nh S?n La	Huy?n Mai S?n	Xã Nà ?t	Xa Na Ot	Huyen Mai Son	Tinh Son La
T?nh S?n La	Huy?n Mai S?n	Xã Tà H?c	Xa Ta Hoc	Huyen Mai Son	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Th? tr?n Sông Mã	Thi tran Song Ma	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Bó Sinh	Xa Bo Sinh	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Pú P?u	Xa Pu Pau	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng Phung	Xa Chieng Phung	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng En	Xa Chieng En	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã M??ng L?m	Xa Muong Lam	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã N?m Ty	Xa Nam Ty	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã ??a Mòn	Xa Dua Mon	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Yên H?ng	Xa Yen Hung	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng S?	Xa Chieng So	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Nà Ngh?u	Xa Na Nghiu	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã N?m M?n	Xa Nam Man	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng Khoong	Xa Chieng Khoong	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng Cang	Xa Chieng Cang	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Hu?i M?t	Xa Huoi Mot	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã M??ng Sai	Xa Muong Sai	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã M??ng Cai	Xa Muong Cai	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã M??ng Hung	Xa Muong Hung	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n Sông Mã	Xã Chi?ng Kh??ng	Xa Chieng Khuong	Huyen Song Ma	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã Sam Kha	Xa Sam Kha	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã Púng Bánh	Xa Pung Banh	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã S?p C?p	Xa Sop Cop	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã D?m Cang	Xa Dom Cang	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã N?m L?nh	Xa Nam Lanh	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã M??ng Lèo	Xa Muong Leo	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã M??ng Và	Xa Muong Va	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n S?p C?p	Xã M??ng L?n	Xa Muong Lan	Huyen Sop Cop	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Su?i Bàng	Xa Suoi Bang	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Song Kh?a	Xa Song Khua	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Liên Hoà	Xa Lien Hoa	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Tô Múa	Xa To Mua	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã M??ng Tè	Xa Muong Te	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Chi?ng Khoa	Xa Chieng Khoa	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã M??ng Men	Xa Muong Men	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Quang Minh	Xa Quang Minh	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Vân H?	Xa Van Ho	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Lóng Luông	Xa Long Luong	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Chi?ng Yên	Xa Chieng Yen	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Chi?ng Xuân	Xa Chieng Xuan	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Xuân Nha	Xa Xuan Nha	Huyen Van Ho	Tinh Son La
T?nh S?n La	Huy?n Vân H?	Xã Tân Xuân	Xa Tan Xuan	Huyen Van Ho	Tinh Son La
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Yên Th?nh	Phuong Yen Thinh	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Yên Ninh	Phuong Yen Ninh	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Minh Tân	Phuong Minh Tan	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Nguy?n Thái H?c	Phuong Nguyen Thai Hoc	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng ??ng Tâm	Phuong Dong Tam	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Nguy?n Phúc	Phuong Nguyen Phuc	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng H?ng Hà	Phuong Hong Ha	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã Minh B?o	Xa Minh Bao	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng Nam C??ng	Phuong Nam Cuong	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã Tuy L?c	Xa Tuy Loc	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã Tân Th?nh	Xa Tan Thinh	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã Âu Lâu	Xa Au Lau	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã Gi?i Phiên	Xa Gioi Phien	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Ph??ng H?p Minh	Phuong Hop Minh	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Thành ph? Yên Bái	Xã V?n Phú	Xa Van Phu	Thanh pho Yen Bai	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Ph??ng Pú Tr?ng	Phuong Pu Trang	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Ph??ng Trung Tâm	Phuong Trung Tam	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Ph??ng Tân An	Phuong Tan An	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Ph??ng C?u Thia	Phuong Cau Thia	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Ngh?a L?i	Xa Nghia Loi	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Ngh?a Phúc	Xa Nghia Phuc	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Ngh?a An	Xa Nghia An	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Ngh?a L?	Xa Nghia Lo	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã S?n A	Xa Son A	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Phù Nham	Xa Phu Nham	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Thanh L??ng	Xa Thanh Luong	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã H?nh S?n	Xa Hanh Son	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Phúc S?n	Xa Phuc Son	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Th? xã Ngh?a L?	Xã Th?ch L??ng	Xa Thach Luong	Thi xa Nghia Lo	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Th? tr?n Yên Th?	Thi tran Yen The	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Tân Ph??ng	Xa Tan Phuong	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Lâm Th??ng	Xa Lam Thuong	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Khánh Thi?n	Xa Khanh Thien	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Minh Chu?n	Xa Minh Chuan	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Mai S?n	Xa Mai Son	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Khai Trung	Xa Khai Trung	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã M??ng Lai	Xa Muong Lai	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã An L?c	Xa An Lac	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Minh Xuân	Xa Minh Xuan	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Tô M?u	Xa To Mau	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Tân L?nh	Xa Tan Linh	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Yên Th?ng	Xa Yen Thang	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Khánh Hoà	Xa Khanh Hoa	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã V?nh L?c	Xa Vinh Lac	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Li?u ?ô	Xa Lieu Do	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã ??ng Quan	Xa Dong Quan	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Tân L?p	Xa Tan Lap	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Minh Ti?n	Xa Minh Tien	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Trúc Lâu	Xa Truc Lau	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Phúc L?i	Xa Phuc Loi	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Phan Thanh	Xa Phan Thanh	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã An Phú	Xa An Phu	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n L?c Yên	Xã Trung Tâm	Xa Trung Tam	Huyen Luc Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Th? tr?n M?u A	Thi tran Mau A	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Lang Thíp	Xa Lang Thip	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Lâm Giang	Xa Lam Giang	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Châu Qu? Th??ng	Xa Chau Que Thuong	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Châu Qu? H?	Xa Chau Que Ha	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã An Bình	Xa An Binh	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Quang Minh	Xa Quang Minh	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã ?ông An	Xa Dong An	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã ?ông Cuông	Xa Dong Cuong	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Phong D? H?	Xa Phong Du Ha	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã M?u ?ông	Xa Mau Dong	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Ngòi A	Xa Ngoi A	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Xuân T?m	Xa Xuan Tam	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Tân H?p	Xa Tan Hop	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã An Th?nh	Xa An Thinh	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Yên Thái	Xa Yen Thai	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Phong D? Th??ng	Xa Phong Du Thuong	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Yên H?p	Xa Yen Hop	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã ??i S?n	Xa Dai Son	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã ??i Phác	Xa Dai Phac	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Yên Phú	Xa Yen Phu	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Xuân Ái	Xa Xuan Ai	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Vi?n S?n	Xa Vien Son	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã M? Vàng	Xa Mo Vang	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Yên	Xã Nà H?u	Xa Na Hau	Huyen Van Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Th? tr?n Mù C?ng Ch?i	Thi tran Mu Cang Chai	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã H? B?n	Xa Ho Bon	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã N?m Có	Xa Nam Co	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Khao Mang	Xa Khao Mang	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã M? D?	Xa Mo De	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Ch? Cu Nha	Xa Che Cu Nha	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Lao Ch?i	Xa Lao Chai	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Kim N?i	Xa Kim Noi	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Cao Ph?	Xa Cao Pha	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã La Pán T?n	Xa La Pan Tan	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã D? Su Phình	Xa De Su Phinh	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Ch? T?o	Xa Che Tao	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã Púng Luông	Xa Pung Luong	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Mù C?ng Ch?i	Xã N?m Kh?t	Xa Nam Khat	Huyen Mu Cang Chai	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Th? tr?n C? Phúc	Thi tran Co Phuc	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Tân ??ng	Xa Tan Dong	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Báo ?áp	Xa Bao Dap	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã ?ào Th?nh	Xa Dao Thinh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Vi?t Thành	Xa Viet Thanh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Hòa Cuông	Xa Hoa Cuong	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Minh Quán	Xa Minh Quan	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Quy Mông	Xa Quy Mong	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã C??ng Th?nh	Xa Cuong Thinh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Kiên Thành	Xa Kien Thanh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Nga Quán	Xa Nga Quan	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Y Can	Xa Y Can	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã L??ng Th?nh	Xa Luong Thinh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã B?o H?ng	Xa Bao Hung	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Vi?t C??ng	Xa Viet Cuong	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Minh Quân	Xa Minh Quan	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã H?ng Ca	Xa Hong Ca	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã H?ng Th?nh	Xa Hung Thinh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã H?ng Khánh	Xa Hung Khanh	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Vi?t H?ng	Xa Viet Hong	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?n Yên	Xã Vân H?i	Xa Van Hoi	Huyen Tran Yen	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Th? tr?n Tr?m T?u	Thi tran Tram Tau	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Túc ?án	Xa Tuc Dan	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Pá Lau	Xa Pa Lau	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Xà H?	Xa Xa Ho	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Phình H?	Xa Phinh Ho	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Tr?m T?u	Xa Tram Tau	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Tà Si Láng	Xa Ta Si Lang	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Pá Hu	Xa Pa Hu	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Làng Nhì	Xa Lang Nhi	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã B?n Công	Xa Ban Cong	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã B?n Mù	Xa Ban Mu	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n Tr?m T?u	Xã Hát Lìu	Xa Hat Liu	Huyen Tram Tau	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Th? tr?n NT Liên S?n	Thi tran NT Lien Son	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Th? tr?n NT Tr?n Phú	Thi tran NT Tran Phu	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Tú L?	Xa Tu Le	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã N?m Búng	Xa Nam Bung	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Gia H?i	Xa Gia Hoi	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Sùng ?ô	Xa Sung Do	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã N?m M??i	Xa Nam Muoi	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã An L??ng	Xa An Luong	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã N?m Lành	Xa Nam Lanh	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã S?n L??ng	Xa Son Luong	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Su?i Quy?n	Xa Suoi Quyen	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Su?i Giàng	Xa Suoi Giang	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Ngh?a S?n	Xa Nghia Son	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Su?i Bu	Xa Suoi Bu	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Th? tr?n S?n Th?nh	Thi tran Son Thinh	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã ??i L?ch	Xa Dai Lich	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã ??ng Khê	Xa Dong Khe	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Cát Th?nh	Xa Cat Thinh	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Tân Th?nh	Xa Tan Thinh	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Ch?n Th?nh	Xa Chan Thinh	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Bình Thu?n	Xa Binh Thuan	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Th??ng B?ng La	Xa Thuong Bang La	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Minh An	Xa Minh An	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n V?n Ch?n	Xã Ngh?a Tâm	Xa Nghia Tam	Huyen Van Chan	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Th? tr?n Yên Bình	Thi tran Yen Binh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Th? tr?n Thác Bà	Thi tran Thac Ba	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Xuân Long	Xa Xuan Long	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã C?m Nhân	Xa Cam Nhan	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Ng?c Ch?n	Xa Ngoc Chan	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Tân Nguyên	Xa Tan Nguyen	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Phúc Ninh	Xa Phuc Ninh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã B?o Ái	Xa Bao Ai	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã M? Gia	Xa My Gia	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Xuân Lai	Xa Xuan Lai	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Mông S?n	Xa Mong Son	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã C?m Ân	Xa Cam An	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Yên Thành	Xa Yen Thanh	Huyen Yen Binh	Tinh Yen Bai
T?nh Yên Bái	Huy?n Yên Bình	Xã Tân H??ng	Xa Tan Huong	Huyen Yen Binh	Tinh Yen Bai
